,index,id,member_id,loan_amnt,funded_amnt,funded_amnt_inv,term,int_rate,installment,grade,sub_grade,emp_title,emp_length,home_ownership,annual_inc,verification_status,issue_d,loan_status,pymnt_plan,url,desc,purpose,title,zip_code,addr_state,dti,delinq_2yrs,earliest_cr_line,inq_last_6mths,mths_since_last_delinq,mths_since_last_record,open_acc,pub_rec,revol_bal,revol_util,total_acc,initial_list_status,out_prncp,out_prncp_inv,total_pymnt,total_pymnt_inv,total_rec_prncp,total_rec_int,total_rec_late_fee,recoveries,collection_recovery_fee,last_pymnt_d,last_pymnt_amnt,next_pymnt_d,last_credit_pull_d,collections_12_mths_ex_med,mths_since_last_major_derog,policy_code,application_type,annual_inc_joint,dti_joint,verification_status_joint,acc_now_delinq,tot_coll_amt,tot_cur_bal,open_acc_6m,open_il_6m,open_il_12m,open_il_24m,mths_since_rcnt_il,total_bal_il,il_util,open_rv_12m,open_rv_24m,max_bal_bc,all_util,total_rev_hi_lim,inq_fi,total_cu_tl,inq_last_12m
0,611811,60395307,64382026,29000.0,29000.0,29000.0, 36 months,6.24,885.4,A,A2,Six Sigma Black Belt,10+ years,MORTGAGE,103332.0,Verified,Sep-2015,Current,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=60395307,,credit_card,Credit card refinancing,850xx,AZ,19.28,0.0,May-1996,0.0,,,11.0,0.0,75602.0,91.2,24.0,w,26038.6,26038.6,3521.49,3521.49,2961.4,560.09,0.0,0.0,0.0,Jan-2016,885.4,Feb-2016,Jan-2016,0.0,,1.0,INDIVIDUAL,,,,0.0,0.0,375497.0,,,,,,,,,,,,77800.0,,,
1,736300,50184101,53562839,12000.0,12000.0,12000.0, 36 months,9.99,387.15,B,B3,SVP ,10+ years,MORTGAGE,150000.0,Not Verified,Jun-2015,Current,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=50184101,,debt_consolidation,Debt consolidation,103xx,NY,10.57,3.0,Aug-1993,1.0,4.0,,12.0,0.0,9165.0,67.9,35.0,w,9938.33,9938.33,2703.39,2703.39,2061.67,641.72,0.0,0.0,0.0,Jan-2016,387.15,Feb-2016,Jan-2016,0.0,27.0,1.0,INDIVIDUAL,,,,0.0,0.0,493588.0,,,,,,,,,,,,13500.0,,,
2,296686,28574664,31097894,23000.0,23000.0,23000.0, 60 months,12.99,523.21,C,C1,Quality Engineer,3 years,MORTGAGE,84000.0,Source Verified,Oct-2014,Current,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=28574664,,debt_consolidation,Debt consolidation,786xx,TX,19.07,0.0,Sep-2002,1.0,80.0,62.0,9.0,1.0,24145.0,89.1,24.0,w,18559.66,18559.66,7848.15,7848.15,4440.34,3407.81,0.0,0.0,0.0,Jan-2016,523.21,Feb-2016,Jan-2016,0.0,80.0,1.0,INDIVIDUAL,,,,0.0,0.0,173864.0,,,,,,,,,,,,27100.0,,,
3,848736,40411997,43276784,16000.0,16000.0,16000.0, 60 months,21.99,441.82,E,E5,,,MORTGAGE,54000.0,Verified,Feb-2015,Current,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=40411997,,other,Other,973xx,OR,25.62,0.0,Aug-2002,1.0,48.0,,8.0,0.0,14785.0,55.8,24.0,f,14206.85,14206.85,4840.47,4840.47,1793.15,3047.32,0.0,0.0,0.0,Jan-2016,441.82,Feb-2016,Jan-2015,0.0,,1.0,INDIVIDUAL,,,,0.0,0.0,266636.0,,,,,,,,,,,,26500.0,,,
4,361697,20006713,22229477,16000.0,16000.0,16000.0, 36 months,7.12,494.92,A,A3,Corporate Programmer,< 1 year,MORTGAGE,92000.0,Not Verified,Jul-2014,Current,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=20006713,,other,Other,750xx,TX,13.14,0.0,Feb-1987,0.0,,,13.0,0.0,21480.0,24.6,30.0,f,8425.38,8425.38,8908.56,8908.56,7574.62,1333.94,0.0,0.0,0.0,Jan-2016,494.92,Feb-2016,Jan-2016,0.0,,1.0,INDIVIDUAL,,,,0.0,793.0,136808.0,,,,,,,,,,,,87200.0,,,
5,774844,46752949,49900689,24000.0,24000.0,23900.0, 36 months,10.99,785.62,B,B4,Teacher,10+ years,MORTGAGE,78000.0,Source Verified,May-2015,Current,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=46752949,,debt_consolidation,Debt consolidation,864xx,AZ,23.91,0.0,Sep-1990,1.0,70.0,,14.0,0.0,14708.0,56.6,55.0,f,19325.66,19245.13,6270.31,6244.18,4674.34,1595.97,0.0,0.0,0.0,Jan-2016,785.62,Feb-2016,Jan-2016,0.0,70.0,1.0,INDIVIDUAL,,,,0.0,1827.0,105767.0,,,,,,,,,,,,26000.0,,,
6,812404,43296269,46313025,8500.0,8500.0,8500.0, 36 months,6.68,261.22,A,A3,HVAC Manager,7 years,MORTGAGE,60000.0,Not Verified,Mar-2015,Current,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=43296269,,credit_card,Credit card refinancing,752xx,TX,14.4,0.0,Mar-1985,0.0,35.0,,8.0,0.0,8834.0,41.5,19.0,w,6306.58,6306.58,2609.05,2609.05,2193.42,415.63,0.0,0.0,0.0,Jan-2016,261.22,Feb-2016,Jan-2016,0.0,,1.0,INDIVIDUAL,,,,0.0,100.0,83683.0,,,,,,,,,,,,21300.0,,,
7,365924,19225942,21428707,14350.0,14350.0,14350.0, 60 months,19.52,376.37,E,E2,certified medical assistant,9 years,RENT,32000.0,Source Verified,Jun-2014,Current,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=19225942,,debt_consolidation,Debt consolidation,194xx,PA,20.59,3.0,Feb-2004,1.0,12.0,,12.0,0.0,6788.0,71.5,19.0,f,11197.31,11197.31,7151.03,7151.03,3152.69,3998.34,0.0,0.0,0.0,Jan-2016,376.37,Feb-2016,Jan-2016,0.0,,1.0,INDIVIDUAL,,,,0.0,0.0,13553.0,,,,,,,,,,,,9500.0,,,
8,283880,28684599,31147800,8000.0,8000.0,8000.0, 36 months,14.99,277.29,C,C5,Secretary,10+ years,MORTGAGE,33217.0,Source Verified,Oct-2014,Fully Paid,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=28684599,,debt_consolidation,Debt consolidation,393xx,MS,32.98,2.0,Jun-1990,2.0,16.0,,19.0,0.0,10024.0,61.5,58.0,w,0.0,0.0,9117.57,9117.57,8000.0,1117.57,0.0,0.0,0.0,Nov-2015,5806.75,,Nov-2015,0.0,58.0,1.0,INDIVIDUAL,,,,0.0,0.0,19167.0,,,,,,,,,,,,16300.0,,,
9,639984,57215728,60918501,35000.0,35000.0,35000.0, 60 months,18.55,899.28,E,E2,District manager ,10+ years,MORTGAGE,110000.0,Source Verified,Aug-2015,Current,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=57215728,,debt_consolidation,Debt consolidation,920xx,CA,16.66,1.0,Mar-1985,1.0,13.0,,15.0,0.0,31636.0,66.5,23.0,w,33533.48,33533.48,3524.98,3524.98,1466.52,2058.46,0.0,0.0,0.0,Dec-2015,899.28,Jan-2016,Jan-2016,0.0,44.0,1.0,INDIVIDUAL,,,,0.0,164.0,726480.0,,,,,,,,,,,,47600.0,,,
